"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"155","tan","GO:0004298","threonine-type endopeptidase activity","3/44","21/16969",2.0939087626534e-05,0.000311095016165648,0.000245601328551827,"5699/5696/5698",3
"156","tan","GO:0070003","threonine-type peptidase activity","3/44","21/16969",2.0939087626534e-05,0.000311095016165648,0.000245601328551827,"5699/5696/5698",3
"161","turquoise","GO:0019838","growth factor binding","34/1371","121/16969",6.14131074115878e-11,5.26310330517307e-08,4.68678977614749e-08,"2/90/130399/94/4856/8839/948/51232/1843/2022/2260/2321/8692/3489/3490/3554/3685/3791/152831/3977/2615/4053/8425/8829/8828/4915/5154/5156/5764/7010/7046/7048/7049/57045",34
"162","turquoise","GO:0019199","transmembrane receptor protein kinase activity","22/1371","65/16969",3.19109014115285e-09,1.367382125484e-06,1.21765281701885e-06,"90/130399/94/659/51232/4921/2202/2042/2043/2260/2321/3791/8425/8829/8828/4915/5156/5157/7046/7048/7049/7301",22
"164","turquoise","GO:0005201","extracellular matrix structural constituent","35/1371","158/16969",3.12951693579274e-08,6.70499003493594e-06,5.9707888906572e-06,"25890/9370/8483/7373/1306/81578/131873/1634/1805/2202/2006/2192/2199/10516/2331/83872/3339/3490/3908/3910/3915/4053/8425/4060/4147/4239/8076/79812/4969/127435/10418/8406/7980/3371/7450",35
"165","turquoise","GO:0005539","glycosaminoglycan binding","38/1371","199/16969",4.96666444598461e-07,8.51286286041762e-05,7.58069836492388e-05,"25890/9510/9508/11096/151887/3075/83716/1634/133584/2022/2246/2247/2252/2260/11167/1839/8692/143903/4023/4053/8425/56925/8829/8828/26577/5764/5802/84870/6403/9037/9353/64094/7048/7049/7060/7422/7423/7705",38
"167","turquoise","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","59/1371","390/16969",1.97259696980906e-06,0.000231687798129839,0.000206317820603247,"9915/1050/64651/80034/253738/1958/1959/2004/2034/2078/2115/2120/2353/2354/2297/2551/2737/29841/79977/3131/3198/3202/3204/3217/3236/3234/3664/3725/7071/9314/8609/4005/4094/4208/4211/4212/4222/4223/4286/4487/4692/2908/3164/4929/8013/2494/6095/23314/51804/54345/6777/6910/6938/6925/7020/7022/7027/9839/79755",59
"169","turquoise","GO:0000978","RNA polymerase II proximal promoter sequence-specific DNA binding","63/1371","432/16969",3.13333543909423e-06,0.000298363163478195,0.000265692186355943,"9915/79365/1050/148523/253738/1959/2004/2078/2114/2115/2120/2297/2551/2737/29841/9759/3087/3202/3204/3217/3725/7071/9314/8609/4005/4211/4212/4222/4223/4286/138151/4692/2908/8013/2494/5468/11107/5396/5928/6095/6256/23314/51804/4091/6597/6599/6591/54345/6777/6913/6910/6938/6925/6934/7020/7022/7291/10413/6935/463/8187/55657/79755",63
"177","turquoise","GO:0008081","phosphoric diester hydrolase activity","17/1371","78/16969",0.000132156804270208,0.00666225772115109,0.00593273579541183,"624/1909/2151/81544/10846/5136/5138/5139/5141/5144/8654/8622/23236/5334/55344/6609/10924",17
"178","turquoise","GO:0030551","cyclic nucleotide binding","10/1371","32/16969",0.000141800892606063,0.00675129805352201,0.00601202614850268,"2281/10846/5138/5141/5144/8654/5573/5577/5592/9693",10
"182","turquoise","GO:0031690","adrenergic receptor binding","7/1371","17/16969",0.000208600244612979,0.00812592771060559,0.00723613288729234,"150/408/57561/9863/4734/5144/9693",7
